Date,tavg,tmin,tmax,prcp,Day of Week,Month,Wthr Desc.,Things Watched
2016-07-30,67.64,60.08,77.0,0.0,Saturday,July,good,3.0
2016-07-31,65.12,57.92,73.04,0.0,Sunday,July,good,0.0
2016-08-01,64.4,55.04,77.0,0.0,Monday,August,good,6.0
2016-08-02,63.68,59.0,71.06,,Tuesday,August,bad,7.0
2016-08-03,66.56,60.08,75.02,0.0,Wednesday,August,good,7.0
2016-08-04,69.8,57.02,80.06,0.0,Thursday,August,good,17.0
2016-08-05,69.08,57.92,80.06,0.0,Friday,August,good,8.0
2016-08-06,62.42,55.94,71.06,,Saturday,August,bad,13.0
2016-08-07,62.06,57.02,68.0,,Sunday,August,bad,12.0
2016-08-08,63.5,57.92,71.96,0.3,Monday,August,good,0.0
2016-08-09,64.58,60.08,71.06,0.0,Tuesday,August,good,0.0
2016-08-10,67.46,60.98,75.92,0.0,Wednesday,August,good,0.0
2016-08-11,70.16,60.08,80.06,0.0,Thursday,August,good,4.0
2016-08-12,74.3,60.08,87.98,0.0,Friday,August,good,1.0
2016-08-13,76.64,64.04,89.96,0.0,Saturday,August,good,0.0
2016-08-14,73.22,62.06,84.02,0.0,Sunday,August,good,2.0
2016-08-15,72.32,60.08,82.94,0.0,Monday,August,good,9.0
2016-08-16,69.8,60.08,82.04,0.0,Tuesday,August,good,3.0
2016-08-17,70.34,60.08,80.06,0.0,Wednesday,August,good,5.0
2016-08-18,74.12,60.98,86.0,0.0,Thursday,August,good,0.0
2016-08-19,79.34,68.0,93.02,0.0,Friday,August,good,0.0
2016-08-20,76.28,60.98,91.94,0.0,Saturday,August,good,0.0
2016-08-21,66.02,60.08,73.04,,Sunday,August,bad,2.0
2016-08-22,64.58,57.02,71.96,,Monday,August,bad,2.0
2016-08-23,66.56,51.98,78.98,0.0,Tuesday,August,good,0.0
2016-08-24,70.52,57.02,82.94,0.0,Wednesday,August,good,0.0
2016-08-25,74.3,60.08,89.06,0.0,Thursday,August,good,0.0
2016-08-26,75.02,60.98,89.96,0.0,Friday,August,good,0.0
2016-08-27,66.92,62.06,71.96,0.0,Saturday,August,good,0.0
2016-08-28,63.86,57.92,71.06,,Sunday,August,bad,0.0
2016-08-29,66.38,53.96,80.06,0.0,Monday,August,good,0.0
2016-08-30,64.4,60.08,71.06,0.0,Tuesday,August,good,0.0
