,Date,Day of Week
0,2016-07-30,Saturday
1,2016-07-31,Sunday
2,2016-08-01,Monday
3,2016-08-02,Tuesday
4,2016-08-03,Wednesday
5,2016-08-04,Thursday
6,2016-08-05,Friday
7,2016-08-06,Saturday
8,2016-08-07,Sunday
9,2016-08-08,Monday
10,2016-08-09,Tuesday
11,2016-08-10,Wednesday
12,2016-08-11,Thursday
13,2016-08-12,Friday
14,2016-08-13,Saturday
15,2016-08-14,Sunday
16,2016-08-15,Monday
17,2016-08-16,Tuesday
18,2016-08-17,Wednesday
19,2016-08-18,Thursday
20,2016-08-19,Friday
21,2016-08-20,Saturday
22,2016-08-21,Sunday
23,2016-08-22,Monday
24,2016-08-23,Tuesday
25,2016-08-24,Wednesday
26,2016-08-25,Thursday
27,2016-08-26,Friday
28,2016-08-27,Saturday
29,2016-08-28,Sunday
30,2016-08-29,Monday
31,2016-08-30,Tuesday
32,2016-08-31,Wednesday
33,2016-09-01,Thursday
34,2016-09-02,Friday
35,2016-09-03,Saturday
36,2016-09-04,Sunday
37,2016-09-05,Monday
38,2016-09-06,Tuesday
39,2016-09-07,Wednesday
40,2016-09-08,Thursday
41,2016-09-09,Friday
42,2016-09-10,Saturday
43,2016-09-11,Sunday
44,2016-09-12,Monday
45,2016-09-13,Tuesday
46,2016-09-14,Wednesday
47,2016-09-15,Thursday
48,2016-09-16,Friday
49,2016-09-17,Saturday
50,2016-09-18,Sunday
51,2016-09-19,Monday
52,2016-09-20,Tuesday
53,2016-09-21,Wednesday
54,2016-09-22,Thursday
55,2016-09-23,Friday
56,2016-09-24,Saturday
57,2016-09-25,Sunday
58,2016-09-26,Monday
59,2016-09-27,Tuesday
60,2016-09-28,Wednesday
61,2016-09-29,Thursday
62,2016-09-30,Friday
63,2016-10-01,Saturday
64,2016-10-02,Sunday
65,2016-10-03,Monday
66,2016-10-04,Tuesday
67,2016-10-05,Wednesday
68,2016-10-06,Thursday
69,2016-10-07,Friday
70,2016-10-08,Saturday
71,2016-10-09,Sunday
72,2016-10-10,Monday
73,2016-10-11,Tuesday
74,2016-10-12,Wednesday
75,2016-10-13,Thursday
76,2016-10-14,Friday
77,2016-10-15,Saturday
78,2016-10-16,Sunday
79,2016-10-17,Monday
80,2016-10-18,Tuesday
81,2016-10-19,Wednesday
82,2016-10-20,Thursday
83,2016-10-21,Friday
84,2016-10-22,Saturday
85,2016-10-23,Sunday
86,2016-10-24,Monday
87,2016-10-25,Tuesday
88,2016-10-26,Wednesday
89,2016-10-27,Thursday
90,2016-10-28,Friday
91,2016-10-29,Saturday
92,2016-10-30,Sunday
93,2016-10-31,Monday
94,2016-11-01,Tuesday
95,2016-11-02,Wednesday
96,2016-11-03,Thursday
97,2016-11-04,Friday
98,2016-11-05,Saturday
99,2016-11-06,Sunday
100,2016-11-07,Monday
101,2016-11-08,Tuesday
102,2016-11-09,Wednesday
103,2016-11-10,Thursday
104,2016-11-11,Friday
105,2016-11-12,Saturday
106,2016-11-13,Sunday
107,2016-11-14,Monday
108,2016-11-15,Tuesday
109,2016-11-16,Wednesday
110,2016-11-17,Thursday
111,2016-11-18,Friday
112,2016-11-19,Saturday
113,2016-11-20,Sunday
114,2016-11-21,Monday
115,2016-11-22,Tuesday
116,2016-11-23,Wednesday
117,2016-11-24,Thursday
118,2016-11-25,Friday
119,2016-11-26,Saturday
120,2016-11-27,Sunday
121,2016-11-28,Monday
122,2016-11-29,Tuesday
123,2016-11-30,Wednesday
124,2016-12-01,Thursday
125,2016-12-02,Friday
126,2016-12-03,Saturday
127,2016-12-04,Sunday
128,2016-12-05,Monday
129,2016-12-06,Tuesday
130,2016-12-07,Wednesday
131,2016-12-08,Thursday
132,2016-12-09,Friday
133,2016-12-10,Saturday
134,2016-12-11,Sunday
135,2016-12-12,Monday
136,2016-12-13,Tuesday
137,2016-12-14,Wednesday
138,2016-12-15,Thursday
139,2016-12-16,Friday
140,2016-12-17,Saturday
141,2016-12-18,Sunday
142,2016-12-19,Monday
143,2016-12-20,Tuesday
144,2016-12-21,Wednesday
145,2016-12-22,Thursday
146,2016-12-23,Friday
147,2016-12-24,Saturday
148,2016-12-25,Sunday
149,2016-12-26,Monday
150,2016-12-27,Tuesday
151,2016-12-28,Wednesday
152,2016-12-29,Thursday
153,2016-12-30,Friday
154,2016-12-31,Saturday
155,2017-01-01,Sunday
156,2017-01-02,Monday
157,2017-01-03,Tuesday
158,2017-01-04,Wednesday
159,2017-01-05,Thursday
160,2017-01-06,Friday
161,2017-01-07,Saturday
162,2017-01-08,Sunday
163,2017-01-09,Monday
164,2017-01-10,Tuesday
165,2017-01-11,Wednesday
166,2017-01-12,Thursday
167,2017-01-13,Friday
168,2017-01-14,Saturday
169,2017-01-15,Sunday
170,2017-01-16,Monday
171,2017-01-17,Tuesday
172,2017-01-18,Wednesday
173,2017-01-19,Thursday
174,2017-01-20,Friday
175,2017-01-21,Saturday
176,2017-01-22,Sunday
177,2017-01-23,Monday
178,2017-01-24,Tuesday
179,2017-01-25,Wednesday
180,2017-01-26,Thursday
181,2017-01-27,Friday
182,2017-01-28,Saturday
183,2017-01-29,Sunday
