date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2016-07-30,19.8,15.6,25.0,0.0,,11.2,1014.1
2016-07-31,18.4,14.4,22.8,0.0,,9.1,1016.1500000000001
2016-08-01,18.0,12.8,25.0,0.0,,6.9,1018.2
2016-08-02,17.6,15.0,21.7,0.0,,8.566666666666666,1021.2
2016-08-03,19.2,15.6,23.9,0.0,,10.233333333333334,1024.2
2016-08-04,21.0,13.9,26.7,0.0,,11.9,1017.6
2016-08-05,20.6,14.4,26.7,0.0,,8.4,1013.4
2016-08-06,16.9,13.3,21.7,0.09999999999999999,,6.4,1015.1
2016-08-07,16.7,13.9,20.0,0.19999999999999998,,8.3,1015.1
2016-08-08,17.5,14.4,22.2,0.3,,6.6,1015.1
2016-08-09,18.1,15.6,21.7,0.0,,7.9,1016.5
2016-08-10,19.7,16.1,24.4,0.0,,8.2,1018.4
2016-08-11,21.2,15.6,26.7,0.0,,11.7,1019.4
2016-08-12,23.5,15.6,31.1,0.0,,9.8,1017.9
2016-08-13,24.8,17.8,32.2,0.0,,6.5,1015.6
2016-08-14,22.9,16.7,28.9,0.0,,8.8,1016.2
2016-08-15,22.4,15.6,28.3,0.0,,9.5,1018.3
2016-08-16,21.0,15.6,27.8,0.0,,9.1,1018.3
2016-08-17,21.3,15.6,26.7,0.0,,10.6,1018.3
2016-08-18,23.4,16.1,30.0,0.0,,10.3,1016.3
2016-08-19,26.3,20.0,33.9,0.0,,14.7,1014.0999999999999
2016-08-20,24.6,16.1,33.3,0.0,,5.6,1011.9
2016-08-21,18.9,15.6,22.8,0.0,,12.4,1012.4
2016-08-22,18.1,13.9,22.2,0.0,,9.9,1018.4
2016-08-23,19.2,11.1,26.1,0.0,,8.3,1021.7
2016-08-24,21.4,13.9,28.3,0.0,,8.3,1022.2
2016-08-25,23.5,15.6,31.7,0.0,,8.1,1018.2
2016-08-26,23.9,16.1,32.2,0.0,,5.8,1012.4
2016-08-27,19.4,16.7,22.2,0.0,,12.8,1011.6
2016-08-28,17.7,14.4,21.7,0.0,,8.4,1018.2
2016-08-29,19.1,12.2,26.7,0.0,,6.2,1016.9
2016-08-30,18.0,15.6,21.7,0.0,,9.1,1016.7
2016-08-31,17.0,13.9,20.6,1.6,152.0,8.0,1015.4
2016-09-01,16.5,13.9,18.9,1.2000000000000002,187.0,8.5,1015.15
2016-09-02,16.5,13.9,21.1,0.8,222.0,12.1,1014.9
2016-09-03,16.3,13.9,20.0,0.3999999999999999,257.0,9.7,1016.3
2016-09-04,15.7,10.6,21.1,0.0,254.85416666666666,5.7,1015.8
2016-09-05,15.5,12.2,18.3,0.0,252.70833333333334,7.6,1016.6
2016-09-06,15.8,13.3,18.3,0.0,250.5625,4.2,1015.3
2016-09-07,16.6,15.0,19.4,0.0,248.41666666666666,7.2,1020.6
2016-09-08,16.8,13.9,20.6,0.0,246.27083333333334,7.4,1020.4666666666667
2016-09-09,16.1,9.4,23.3,0.0,244.125,5.5,1020.3333333333334
2016-09-10,17.5,11.1,25.0,0.0,241.97916666666666,5.6,1020.2
2016-09-11,17.1,13.9,21.1,0.0,239.83333333333334,7.9,1020.85
2016-09-12,16.8,9.4,23.3,0.0,237.6875,11.9,1021.5
2016-09-13,16.9,9.4,23.9,0.0,235.54166666666666,7.9,1017.2
2016-09-14,17.9,10.0,26.1,0.0,233.39583333333334,7.2,1017.3
2016-09-15,15.7,10.6,21.7,0.0,231.25,4.9,1021.3
2016-09-16,17.0,10.6,23.9,0.0,229.10416666666666,5.5,1017.7
2016-09-17,16.4,14.4,20.0,0.0,226.95833333333334,13.6,1017.8
2016-09-18,16.6,12.8,20.6,0.0,224.8125,7.9,1017.9
2016-09-19,16.4,13.3,20.6,0.0,222.66666666666666,11.9,1019.1
2016-09-20,14.1,8.9,19.4,0.0,220.52083333333331,9.6,1020.4
2016-09-21,14.3,8.9,20.0,0.0,218.375,8.3,1017.6
2016-09-22,14.0,8.9,19.4,0.0,216.22916666666666,8.6,1017.1
2016-09-23,14.2,11.7,17.8,0.0,214.08333333333331,10.2,1018.2
2016-09-24,15.8,12.8,18.9,0.0,211.9375,6.0,1027.4
2016-09-25,18.8,15.6,23.9,0.0,209.79166666666666,8.1,1027.9
2016-09-26,18.5,13.9,25.0,0.0,207.64583333333331,11.6,1019.4
2016-09-27,17.7,13.9,20.6,0.0,205.5,13.8,1021.2
2016-09-28,14.7,12.2,18.9,0.0,203.35416666666666,7.2,1019.3
2016-09-29,13.2,8.3,17.8,0.0,201.20833333333331,4.3,1018.4
2016-09-30,12.4,7.2,18.3,0.0,199.0625,5.9,1016.7
2016-10-01,12.7,10.0,17.2,0.0,196.91666666666666,5.6,1015.0
2016-10-02,12.7,9.4,17.2,0.0,194.77083333333331,4.5,1014.0
2016-10-03,13.4,10.6,17.0,0.0,192.625,6.1,1012.7
2016-10-04,13.1,11.1,16.1,0.0,190.47916666666666,8.2,1011.4
2016-10-05,14.7,11.7,19.4,0.0,188.33333333333331,7.7,1013.0
2016-10-06,14.4,12.2,17.2,0.0,186.1875,9.0,1013.95
2016-10-07,14.4,12.8,17.2,0.0,184.04166666666666,11.0,1014.9
2016-10-08,15.1,11.7,20.0,0.0,181.89583333333331,10.7,1012.3
2016-10-09,12.2,10.0,16.1,0.0,179.75,9.4,1015.25
2016-10-10,11.2,8.9,15.6,0.0,177.60416666666666,8.0,1018.2
2016-10-11,10.7,4.4,17.2,0.0,175.45833333333331,7.4,1021.8
2016-10-12,11.2,4.4,17.2,0.0,173.3125,4.1,1016.9
2016-10-13,12.2,10.6,15.0,0.0,171.16666666666666,8.4,1001.4
2016-10-14,12.8,11.1,15.0,0.0,169.02083333333331,15.9,996.7
2016-10-15,12.0,10.0,16.7,0.0,166.875,11.2,995.1
2016-10-16,12.3,10.6,16.1,0.0,164.72916666666666,5.5,995.8
2016-10-17,12.3,10.6,15.6,0.0,162.58333333333331,9.7,1003.9
2016-10-18,12.0,10.0,15.0,0.0,160.4375,10.4,1017.9
2016-10-19,10.8,7.2,14.4,0.0,158.29166666666666,3.9,1025.0
2016-10-20,12.7,10.0,16.1,0.0,156.14583333333331,6.7,1020.6
2016-10-21,11.4,8.9,15.0,0.0,154.0,8.9,1016.2
2016-10-22,11.2,6.7,16.1,0.0,153.5952380952381,5.1,1013.4
2016-10-23,12.8,9.4,16.1,0.0,153.1904761904762,6.0,1011.0
2016-10-24,12.9,10.6,16.1,0.0,152.78571428571428,7.0,1004.8
2016-10-25,13.3,9.4,17.8,0.0,152.38095238095238,9.2,1013.6
2016-10-26,12.7,11.1,13.9,0.0,151.97619047619048,5.1,1010.6
2016-10-27,12.4,10.6,14.4,0.0,151.57142857142858,4.2,1011.4
2016-10-28,13.3,10.0,18.3,0.0,151.16666666666666,4.2,1013.2
2016-10-29,12.0,8.3,15.6,0.0,150.76190476190476,3.7,1012.8
2016-10-30,9.1,5.6,11.1,0.0,150.35714285714286,7.5,1006.0
2016-10-31,11.8,10.0,15.0,0.0,149.95238095238096,9.0,1007.1
2016-11-01,11.8,10.0,13.9,0.0,149.54761904761904,6.4,1012.05
2016-11-02,11.8,10.6,14.4,0.0,149.14285714285714,2.4,1017.0
2016-11-03,12.0,8.3,17.2,0.0,148.73809523809524,4.2,1023.6
2016-11-04,11.5,5.6,18.9,0.0,148.33333333333334,5.4,1016.9
2016-11-05,12.8,11.1,14.4,0.0,147.92857142857142,4.6,1016.55
2016-11-06,12.4,10.0,16.7,0.0,147.52380952380952,5.3,1016.2
2016-11-07,13.6,10.6,18.9,0.0,147.11904761904762,5.8,1019.2
2016-11-08,14.8,10.0,22.2,0.0,146.71428571428572,6.5,1018.1
2016-11-09,13.4,11.1,18.3,0.0,146.3095238095238,4.9,1020.9
2016-11-10,12.3,8.9,17.2,0.0,145.9047619047619,2.7,1017.3
2016-11-11,13.3,10.6,16.7,0.0,145.5,4.2,1013.7
2016-11-12,13.5,10.6,15.6,0.0,145.0952380952381,5.35,1015.7
2016-11-13,10.3,8.3,12.2,0.0,144.6904761904762,6.5,1019.0
2016-11-14,11.8,9.4,13.9,0.0,144.28571428571428,3.0,1015.9
2016-11-15,10.1,8.3,13.3,0.0,143.88095238095238,11.8,1016.5999999999999
2016-11-16,8.3,7.2,10.6,0.0,143.47619047619048,5.7,1017.3
2016-11-17,7.6,3.9,11.7,0.0,143.07142857142858,1.7,1021.6
2016-11-18,8.7,2.2,12.2,0.0,142.66666666666666,10.6,1014.3
2016-11-19,11.9,10.0,13.3,0.0,142.26190476190476,10.9,1005.6
2016-11-20,10.9,8.9,12.8,0.0,141.85714285714286,6.1,1007.0
2016-11-21,9.6,7.2,12.2,0.0,141.45238095238096,6.15,1010.25
2016-11-22,8.9,6.1,12.8,0.0,141.04761904761904,6.2,1013.5
2016-11-23,8.0,6.1,10.0,0.0,140.64285714285714,9.2,1015.8
2016-11-24,9.2,7.8,11.7,0.0,140.23809523809524,11.1,1010.1
2016-11-25,8.4,5.0,10.6,0.0,139.83333333333334,5.3,1011.8
2016-11-26,9.4,7.2,11.7,0.0,139.42857142857142,7.2,1012.0666666666666
2016-11-27,7.4,6.1,8.3,0.0,139.02380952380952,7.3,1012.3333333333334
2016-11-28,7.7,5.0,10.6,0.0,138.61904761904762,6.2,1012.6
2016-11-29,7.9,6.1,11.1,0.0,138.21428571428572,5.1,1019.4
2016-11-30,8.1,5.6,10.6,0.0,137.8095238095238,14.1,1020.9
2016-12-01,7.1,5.6,8.3,0.0,137.4047619047619,6.1,1022.4
2016-12-02,8.0,6.7,10.0,0.0,137.0,11.2,1023.9
2016-12-03,8.3,7.2,9.4,0.0,137.2134831460674,14.3,1023.8
2016-12-04,4.9,1.7,7.8,0.0,137.42696629213484,8.9,1021.3
2016-12-05,2.5,0.6,3.9,0.0,137.64044943820224,7.0,1018.8
2016-12-06,1.5,-0.6,5.0,0.0,137.85393258426967,5.1,1024.1999999999998
2016-12-07,0.4,-2.2,4.4,0.0,138.06741573033707,7.0,1029.6
2016-12-08,1.9,0.0,4.4,0.0,138.2808988764045,8.25,1025.7749999999999
2016-12-09,1.2,0.0,1.7,0.0,138.4943820224719,9.5,1021.9499999999999
2016-12-10,3.9,1.1,6.7,0.0,138.7078651685393,10.7,1018.125
2016-12-11,5.4,4.4,6.1,0.0,138.92134831460675,11.9,1014.3
2016-12-12,4.7,3.3,6.1,0.0,139.13483146067415,8.6,1019.9499999999999
2016-12-13,3.1,1.1,3.9,0.0,139.34831460674158,11.3,1025.6
2016-12-14,1.8,0.6,5.0,0.0,139.56179775280899,13.4,1018.1
2016-12-15,2.0,0.6,3.3,0.0,139.77528089887642,4.8,1013.2
2016-12-16,-0.4,-3.9,1.7,0.0,139.98876404494382,3.5,1020.1
2016-12-17,-2.2,-5.0,1.1,0.0,140.20224719101122,2.2,1030.6
2016-12-18,0.7,-2.2,3.9,0.0,140.41573033707866,4.8,1032.3
2016-12-19,5.3,2.2,8.3,0.0,140.62921348314606,6.3,1021.5
2016-12-20,8.3,5.6,10.6,0.0,140.8426966292135,13.9,1022.5
2016-12-21,4.8,1.1,8.9,0.0,141.0561797752809,3.2,1028.3
2016-12-22,3.8,1.1,6.7,0.0,141.26966292134833,7.6,1012.4
2016-12-23,3.3,2.2,4.4,0.0,141.48314606741573,4.4,1014.8
2016-12-24,2.9,1.1,5.0,0.0,141.69662921348313,1.7,1017.2
2016-12-25,1.8,-0.6,4.4,0.0,141.91011235955057,3.0,1019.6
