,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2016-07-30,19.8,15.6,25.0,0.0,,,11.2,,1014.1,
1,2016-07-31,18.4,14.4,22.8,0.0,,,9.1,,,
2,2016-08-01,18.0,12.8,25.0,0.0,,,6.9,,1018.2,
3,2016-08-02,17.6,15.0,21.7,,,,,,,
4,2016-08-03,19.2,15.6,23.9,0.0,,,,,1024.2,
5,2016-08-04,21.0,13.9,26.7,0.0,,,11.9,,1017.6,
6,2016-08-05,20.6,14.4,26.7,0.0,,,8.4,,1013.4,
7,2016-08-06,16.9,13.3,21.7,,,,6.4,,1015.1,
8,2016-08-07,16.7,13.9,20.0,,,,8.3,,,
9,2016-08-08,17.5,14.4,22.2,0.3,,,6.6,,1015.1,
10,2016-08-09,18.1,15.6,21.7,0.0,,,7.9,,1016.5,
11,2016-08-10,19.7,16.1,24.4,0.0,,,8.2,,1018.4,
12,2016-08-11,21.2,15.6,26.7,0.0,,,11.7,,1019.4,
13,2016-08-12,23.5,15.6,31.1,0.0,,,9.8,,1017.9,
14,2016-08-13,24.8,17.8,32.2,0.0,,,6.5,,1015.6,
15,2016-08-14,22.9,16.7,28.9,0.0,,,8.8,,1016.2,
16,2016-08-15,22.4,15.6,28.3,0.0,,,9.5,,1018.3,
17,2016-08-16,21.0,15.6,27.8,0.0,,,9.1,,,
18,2016-08-17,21.3,15.6,26.7,0.0,,,10.6,,1018.3,
19,2016-08-18,23.4,16.1,30.0,0.0,,,10.3,,1016.3,
20,2016-08-19,26.3,20.0,33.9,0.0,,,14.7,,,
21,2016-08-20,24.6,16.1,33.3,0.0,,,5.6,,1011.9,
22,2016-08-21,18.9,15.6,22.8,,,,12.4,,1012.4,
23,2016-08-22,18.1,13.9,22.2,,,,9.9,,1018.4,
24,2016-08-23,19.2,11.1,26.1,0.0,,,8.3,,1021.7,
25,2016-08-24,21.4,13.9,28.3,0.0,,,8.3,,1022.2,
26,2016-08-25,23.5,15.6,31.7,0.0,,,8.1,,1018.2,
27,2016-08-26,23.9,16.1,32.2,0.0,,,5.8,,1012.4,
28,2016-08-27,19.4,16.7,22.2,0.0,,,12.8,,1011.6,
29,2016-08-28,17.7,14.4,21.7,,,,8.4,,1018.2,
30,2016-08-29,19.1,12.2,26.7,0.0,,,6.2,,1016.9,
31,2016-08-30,18.0,15.6,21.7,0.0,,,9.1,,1016.7,
32,2016-08-31,17.0,13.9,20.6,1.6,,152.0,8.0,,1015.4,
33,2016-09-01,16.5,13.9,18.9,,,,8.5,,,
34,2016-09-02,16.5,13.9,21.1,,,,12.1,,1014.9,
35,2016-09-03,16.3,13.9,20.0,,,257.0,9.7,,1016.3,
36,2016-09-04,15.7,10.6,21.1,0.0,,,5.7,,1015.8,
37,2016-09-05,15.5,12.2,18.3,,,,7.6,,1016.6,
